"","zip","scrapedate","Boligareal","Vgtet_areal","Grundareal","Rum_vrelser","Antal_plan","Bygger","Energimrke","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Tidligere_salgspris","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Boligydelse","Forbrugsafh__forhold","Teknisk_pris"
"841","4174 Jystrup Midtsj","2022-08-12","254 m²","258 m²","1.110 m²","5/4","2","1892","D","3.080 kr.","10.058 kr.","141 dage","Vis historik","130.000 kr.","13.719 kr.","10.967 kr.","1984",NA,NA,NA,NA
"842","4400 Kalundborg","2022-08-12","140 m²","147 m²","750 m²","4/3","1","1965","D","1.884 kr.","10.510 kr.","395 dage","Vis historik","80.000 kr.","8.220 kr.","6.683 kr.","1967",NA,NA,NA,NA
"843","4400 Kalundborg","2022-08-12","84 m²","93 m²","930 m²","3/2","1","1964","D","2.132 kr.","10.699 kr.","325 dage","Vis historik","50.000 kr.","5.320 kr.","4.322 kr.",NA,NA,NA,NA,NA
"844","4400 Kalundborg","2022-08-12","136 m²","137 m²","1.306 m²","5/5",NA,"1959","E","2.305 kr.","6.168 kr.","266 dage",NA,"45.000 kr.","4.514 kr.","3.667 kr.",NA,NA,NA,NA,NA
"845","4400 Kalundborg","2022-08-12","144 m²","155 m²","868 m²","5/4","1","1968","C",NA,NA,NA,"Vis historik","65.000 kr.","6.883 kr.","5.595 kr.","1974",NA,NA,NA,NA
"846","4400 Kalundborg","2022-08-12","182 m²",NA,"19.892 m²","5/3","1","1892","G","4.427 kr.","12.363 kr.","450 dage",NA,"115.000 kr.","12.422 kr.","10.102 kr.","1950",NA,NA,NA,NA
"847","4400 Kalundborg","2022-08-12","514 m²","669 m²","65.413 m²","10/6",NA,"1900","C","6.039 kr.","8.961 kr.","125 dage","Vis historik","300.000 kr.","29.613 kr.","24.600 kr.","1991",NA,NA,NA,NA
"848","4400 Kalundborg","2022-08-12","161 m²","200 m²","2.099 m²","3/2","2","1940","C","2.374 kr.","13.000 kr.","108 dage","Vis historik","130.000 kr.","13.788 kr.","11.203 kr.","2005","91 m²",NA,NA,NA
"849","4400 Kalundborg","2022-08-12","110 m²","117 m²","684 m²","4/3","1","1967","F","1.740 kr.","11.496 kr.","304 dage","Vis historik","70.000 kr.","7.128 kr.","5.795 kr.",NA,NA,NA,NA,NA
"850","4771 Kalvehave","2022-08-12","290 m²","500 m²","16.921 m²","10/6","2","1878","G","4.029 kr.","5.500 kr.","527 dage",NA,"140.000 kr.","14.590 kr.","11.754 kr.",NA,"6 m²",NA,NA,NA
"851","7960 Karby","2022-08-12","70 m²",NA,"4.185 m²","4/2","1","1877","E","1.003 kr.","11.357 kr.","423 dage","Vis historik","40.000 kr.","4.389 kr.","3.509 kr.",NA,NA,NA,NA,NA
"852","7960 Karby","2022-08-12","187 m²","214 m²","4.669 m²","7/6",NA,"1935","D","1.239 kr.","2.430 kr.","219 dage",NA,"30.000 kr.","2.873 kr.","2.297 kr.",NA,NA,NA,NA,NA
"853","7960 Karby","2022-08-12","110 m²","105 m²","1.548 m²","5/3","2","1932","D","1.334 kr.","4.143 kr.","92 dage",NA,"25.000 kr.","2.236 kr.","1.830 kr.","1945",NA,NA,NA,NA
"854","4653 Karise","2022-08-12","115 m²","124 m²","744 m²","5/4","1","1973","D","2.438 kr.","14.315 kr.","171 dage",NA,"90.000 kr.","9.398 kr.","7.524 kr.",NA,NA,NA,NA,NA
"855","4653 Karise","2022-08-12","225 m²","242 m²","15.000 m²","9/5","3","1901","G","2.957 kr.","12.376 kr.","197 dage","Vis historik","150.000 kr.","15.823 kr.","12.669 kr.",NA,"20 m²",NA,NA,NA
"856","4653 Karise","2022-08-12","100 m²","102 m²","1.480 m²","5/3","1","1930","E","2.287 kr.","18.088 kr.","114 dage","Vis historik","95.000 kr.","9.759 kr.","7.814 kr.",NA,NA,NA,NA,NA
"857","4653 Karise","2022-08-12","171 m²","187 m²","826 m²","4/3","1","1988","C","2.931 kr.","12.273 kr.","128 dage","Vis historik","115.000 kr.","12.138 kr.","9.718 kr.",NA,NA,NA,NA,NA
"858","2690 Karlslunde","2022-08-12","178 m²","191 m²","981 m²","5/4","1","1969","C","3.966 kr.","28.770 kr.","135 dage",NA,"275.000 kr.","30.266 kr.","24.650 kr.","1999",NA,NA,NA,NA
"859","2690 Karlslunde","2022-08-12","231 m²","228 m²","1.086 m²","6/5","2","1969","C","4.315 kr.","28.487 kr.","121 dage","Vis historik","325.000 kr.","34.390 kr.","28.004 kr.","1988",NA,NA,NA,NA
"860","4736 Karrebæksminde","2022-08-12","93 m²","98 m²","821 m²","4/3","1","1925","G","2.354 kr.","10.153 kr.","244 dage","Vis historik","50.000 kr.","5.315 kr.","4.287 kr.","1990",NA,NA,NA,NA
"861","4736 Karrebæksminde","2022-08-12","184 m²","229 m²","1.464 m²","5/4","3","1973","C","4.258 kr.","17.009 kr.","163 dage",NA,"195.000 kr.","21.156 kr.","17.083 kr.",NA,"114 m²",NA,NA,NA
"862","4736 Karrebæksminde","2022-08-12","183 m²","188 m²","607 m²","5/3","4","1882","C","2.476 kr.","15.931 kr.","84 dage","Vis historik","150.000 kr.","15.853 kr.","12.789 kr.","2009",NA,NA,NA,NA
"863","4736 Karrebæksminde","2022-08-12","154 m²","153 m²","880 m²","4/3","2","1984","D","3.001 kr.","15.654 kr.","106 dage","Vis historik","120.000 kr.","12.691 kr.","10.238 kr.","1985",NA,NA,NA,NA
"864","7470 Karup J","2022-08-12","95 m²","133 m²","1.008 m²","4/2","2","1958","G",NA,NA,NA,"Vis historik","25.000 kr.","2.675 kr.","2.150 kr.","1975","74 m²",NA,NA,NA
"865","7470 Karup J","2022-08-12","118 m²","130 m²","965 m²","5/4",NA,"1964","D","1.599 kr.","5.769 kr.","98 dage",NA,"40.000 kr.","4.012 kr.","3.223 kr.",NA,NA,NA,NA,NA
"866","2770 Kastrup","2022-08-12","152 m²","158 m²","601 m²","4/3","1","1986","D","4.160 kr.","37.943 kr.","368 dage",NA,"300.000 kr.","29.858 kr.","25.106 kr.",NA,NA,NA,NA,NA
"867","2770 Kastrup","2022-08-12","162 m²","208 m²","701 m²","5/3","3","1952","D","4.510 kr.","31.226 kr.","91 dage",NA,"325.000 kr.","34.313 kr.","28.282 kr.","1989","117 m²",NA,NA,NA
"868","2770 Kastrup","2022-08-12","68 m²","103 m²","508 m²","4/2","3","1952","D",NA,NA,NA,"Vis historik","210.000 kr.","22.219 kr.","18.313 kr.",NA,"68 m²",NA,NA,NA
"869","2770 Kastrup","2022-08-12","169 m²","164 m²","712 m²","7/5","2","1954","C","3.978 kr.","37.774 kr.","127 dage",NA,"310.000 kr.","32.714 kr.","26.945 kr.","1997",NA,NA,NA,NA
"870","2770 Kastrup","2022-08-12","86 m²","102 m²","232 m²","4/3","3","1946","D","3.058 kr.","36.716 kr.","106 dage",NA,"190.000 kr.","19.767 kr.","16.292 kr.",NA,"43 m²",NA,NA,NA
"871","2770 Kastrup","2022-08-12","158 m²","165 m²","985 m²","6/4","1","1960","E","2.504 kr.","24.212 kr.","128 dage",NA,"200.000 kr.","21.285 kr.","17.543 kr.","1999",NA,NA,NA,NA
"872","5300 Kerteminde","2022-08-12","196 m²","204 m²","849 m²","6/5","1","2000","B","2.280 kr.","17.892 kr.","105 dage",NA,"185.000 kr.","19.274 kr.","15.404 kr.",NA,NA,NA,NA,NA
"873","5300 Kerteminde","2022-08-12","144 m²","153 m²","626 m²","5/4","1","1988","C","2.573 kr.","17.320 kr.","135 dage",NA,"135.000 kr.","14.010 kr.","11.196 kr.","1995",NA,NA,NA,NA
"874","5300 Kerteminde","2022-08-12","323 m²","374 m²","273 m²","10/6","3","1857",NA,"2.602 kr.","13.356 kr.","122 dage","Vis historik","250.000 kr.","27.693 kr.","22.138 kr.",NA,"83 m²",NA,NA,NA
"875","4360 Kirke Eskilstrup","2022-08-12","114 m²","131 m²","890 m²","4/2","1","1917","E","2.033 kr.","10.649 kr.","176 dage",NA,"70.000 kr.","7.437 kr.","5.984 kr.",NA,"12 m²",NA,NA,NA
"876","4070 Kirke Hyllinge","2022-08-12","153 m²","194 m²","906 m²","5/3","2","1988","C","5.340 kr.","31.933 kr.","169 dage","Vis historik","310.000 kr.","32.705 kr.","26.294 kr.",NA,"91 m²",NA,NA,NA
"877","4060 Kirke Såby","2022-08-12",NA,NA,"703 m²",NA,NA,NA,NA,"989 kr.",NA,"206 dage",NA,"40.000 kr.","4.360 kr.","3.469 kr.",NA,NA,NA,NA,NA
"878","4060 Kirke Såby","2022-08-12","167 m²","168 m²","746 m²","5/4","2","1973","D","2.615 kr.","10.982 kr.","129 dage",NA,"95.000 kr.","9.783 kr.","7.865 kr.",NA,NA,NA,NA,NA
"879","8620 Kjellerup","2022-08-12","102 m²","133 m²","1.839 m²","5/3","3","1959","C","1.131 kr.","6.203 kr.","373 dage",NA,"45.000 kr.","4.388 kr.","3.527 kr.",NA,"72 m²",NA,NA,NA
"880","8620 Kjellerup","2022-08-12","115 m²","144 m²","1.321 m²","6/5","3","1960","G",NA,NA,NA,"Vis historik","35.000 kr.","3.700 kr.","2.971 kr.",NA,"80 m²",NA,NA,NA
"881","8620 Kjellerup","2022-08-12","82 m²","117 m²","635 m²","4/3","3","1941","G","1.403 kr.","5.940 kr.","1.924 dage",NA,"35.000 kr.","3.160 kr.","2.666 kr.",NA,"54 m²",NA,NA,NA
"882","8620 Kjellerup","2022-08-12","164 m²","171 m²","381 m²","6/4","2","1905","F","1.486 kr.","4.064 kr.","1.247 dage",NA,"35.000 kr.","3.262 kr.","2.754 kr.",NA,"18 m²",NA,NA,NA
"883","2930 Klampenborg","2022-08-12","185 m²","223 m²","890 m²","6/4","1","1963","E","10.812 kr.","76.211 kr.","147 dage",NA,"850.000 kr.","89.799 kr.","73.506 kr.",NA,"87 m²",NA,NA,NA
"884","4672 Klippinge","2022-08-12","188 m²","220 m²","618 m²","8/8","2","1965","E","2.686 kr.","8.523 kr.","98 dage","Vis historik","95.000 kr.","9.924 kr.","7.929 kr.",NA,"39 m²",NA,NA,NA
"885","8765 Klovborg","2022-08-12","121 m²","124 m²","1.084 m²","4/3","1","1985","E","1.672 kr.","6.048 kr.","146 dage",NA,"40.000 kr.","4.003 kr.","3.228 kr.",NA,NA,NA,NA,NA
"886","8765 Klovborg","2022-08-12","156 m²","185 m²","932 m²","4/3","2","1971","D","1.407 kr.","4.568 kr.","123 dage","Vis historik","45.000 kr.","4.148 kr.","3.419 kr.",NA,"66 m²",NA,NA,NA
"887","8765 Klovborg","2022-08-12","82 m²","93 m²","495 m²","2/1","2","1890","D","878 kr.","4.290 kr.","150 dage",NA,"25.000 kr.","2.149 kr.","1.731 kr.","1975",NA,NA,NA,NA
"888","2300 København S","2022-08-12","56 m²",NA,"199 m²","2/1",NA,"1952",NA,"2.856 kr.","60.625 kr.","345 dage",NA,"170.000 kr.","17.855 kr.","14.587 kr.",NA,NA,NA,NA,NA
"889","2300 København S","2022-08-12","73 m²","102 m²","487 m²","4/2","1","1934","E","5.760 kr.","60.735 kr.","169 dage",NA,"310.000 kr.","34.017 kr.","27.818 kr.",NA,"73 m²",NA,NA,NA
"890","2300 København S","2022-08-12","102 m²",NA,"593 m²","4/3","1","1957","D","5.809 kr.","63.716 kr.","129 dage",NA,"325.000 kr.","34.265 kr.","27.996 kr.","1965",NA,NA,NA,NA
"891","2300 København S","2022-08-12","176 m²","153 m²","441 m²","5/4","2","1925","D","4.341 kr.","29.379 kr.","151 dage",NA,"225.000 kr.","23.703 kr.","19.380 kr.","1966",NA,NA,NA,NA
"892","2300 København S","2022-08-12","148 m²","179 m²","610 m²","6/5","2","1938","D","5.983 kr.","59.218 kr.",NA,NA,"530.000 kr.","56.023 kr.","45.807 kr.",NA,"83 m²",NA,NA,NA
"893","2300 København S","2022-08-12","124 m²","122 m²","980 m²","5/3","1","1957","D","5.978 kr.","55.697 kr.","318 dage",NA,"340.000 kr.","36.881 kr.","30.158 kr.","1961",NA,NA,NA,NA
"894","4600 Køge","2022-08-12","189 m²","198 m²","772 m²","5/4","2","1971","C","2.826 kr.","16.136 kr.","101 dage","Vis historik","160.000 kr.","16.975 kr.","13.564 kr.","1992",NA,NA,NA,NA
"895","4600 Køge","2022-08-12","110 m²","118 m²","777 m²","4/3","1","1957","E","3.413 kr.","40.636 kr.","84 dage",NA,"240.000 kr.","25.299 kr.","20.450 kr.",NA,NA,NA,NA,NA
"896","4600 Køge","2022-08-12","185 m²","208 m²","788 m²","6/5",NA,"2021","A2020","2.437 kr.","36.058 kr.","85 dage","Vis historik","375.000 kr.","39.803 kr.","32.199 kr.",NA,NA,NA,NA,NA
"897","4600 Køge","2022-08-12","184 m²","208 m²","766 m²","6/4","1","2016","A2010","3.471 kr.","24.995 kr.","142 dage",NA,"260.000 kr.","27.487 kr.","21.965 kr.",NA,NA,NA,NA,NA
"898","4600 Køge","2022-08-12","171 m²","167 m²","631 m²","5/3","2","1935","E","3.383 kr.","46.078 kr.","97 dage",NA,"385.000 kr.","38.210 kr.","31.600 kr.",NA,NA,NA,NA,NA
"899","4600 Køge","2022-08-12","196 m²","193 m²","549 m²","5/3","2","1972","C","3.071 kr.","18.420 kr.","207 dage",NA,"180.000 kr.","18.894 kr.","15.098 kr.","2003",NA,NA,NA,NA
"900","4600 Køge","2022-08-12","144 m²","146 m²","820 m²","4/3","1","1974","C",NA,NA,NA,"Vis historik","220.000 kr.","23.186 kr.","18.755 kr.",NA,NA,NA,NA,NA
"901","4600 Køge","2022-08-12","147 m²","210 m²","577 m²","6/6","3","1931","E","3.694 kr.","30.929 kr.","142 dage",NA,"325.000 kr.","34.333 kr.","27.753 kr.",NA,"77 m²",NA,NA,NA
"902","4600 Køge","2022-08-12","184 m²","159 m²","654.653 m²","7/4",NA,"1857","F","3.665 kr.","119.497 kr.","889 dage",NA,"950.000 kr.","99.995 kr.","80.893 kr.","1995",NA,NA,NA,NA
"903","4600 Køge","2022-08-12","80 m²","92 m²","647 m²","3/2","1","1936","D","1.670 kr.","28.207 kr.","97 dage",NA,"130.000 kr.","14.129 kr.","11.430 kr.","1963",NA,NA,NA,NA
"904","4600 Køge","2022-08-12","95 m²",NA,"549 m²","5/3","2","1900","E","2.472 kr.","24.158 kr.","162 dage",NA,"115.000 kr.","11.352 kr.","9.284 kr.","1963",NA,NA,NA,NA
"905","4600 Køge","2022-08-12","114 m²","114 m²","22.308 m²","6/5",NA,"1900","D","3.119 kr.","26.272 kr.","162 dage",NA,"150.000 kr.","15.849 kr.","12.654 kr.","1977",NA,NA,NA,NA
"906","4600 Køge","2022-08-12","142 m²","94 m²","728 m²","5/4","2","1920","B","2.114 kr.","34.574 kr.","114 dage","Vis historik","165.000 kr.","17.202 kr.","13.905 kr.",NA,NA,NA,NA,NA
"907","6000 Kolding","2022-08-12","108 m²","141 m²","418 m²","5/4","2","1947","D","2.159 kr.","17.695 kr.","100 dage",NA,"125.000 kr.","13.189 kr.","10.605 kr.",NA,"80 m²",NA,NA,NA
"908","6000 Kolding","2022-08-12","159 m²","202 m²","659 m²","5/4","2","1958","C","2.793 kr.","14.332 kr.","126 dage",NA,"145.000 kr.","15.292 kr.","12.296 kr.","1970","131 m²",NA,NA,NA
"909","6000 Kolding","2022-08-12","137 m²","140 m²","768 m²","4/3","1","1985","C","2.603 kr.","15.714 kr.",NA,"Vis historik","110.000 kr.","11.644 kr.","9.362 kr.",NA,NA,NA,NA,NA
"910","6000 Kolding","2022-08-12","265 m²","225 m²","73.300 m²","7/4","2","1989","C","5.387 kr.","68.000 kr.",NA,"Vis historik","765.000 kr.","80.510 kr.","64.741 kr.",NA,NA,NA,NA,NA
"911","6000 Kolding","2022-08-12","104 m²","108 m²","152 m²","5/3","3","1910","E","1.531 kr.","14.769 kr.","130 dage",NA,"80.000 kr.","8.458 kr.","6.800 kr.",NA,"20 m²",NA,NA,NA
"912","6000 Kolding","2022-08-12","116 m²","155 m²","792 m²","3/2","2","1953","F","2.251 kr.","9.968 kr.","113 dage",NA,"80.000 kr.","8.179 kr.","6.576 kr.","1962","72 m²",NA,NA,NA
"913","6000 Kolding","2022-08-12","105 m²","114 m²","511 m²","5/4","2","1907","D","1.976 kr.","9.605 kr.","172 dage",NA,"55.000 kr.","5.852 kr.","4.701 kr.","1974","8 m²",NA,NA,NA
"914","6000 Kolding","2022-08-12","207 m²","179 m²","722 m²","4/3","3","1980","C","2.947 kr.","22.318 kr.","91 dage","Vis historik","200.000 kr.","21.074 kr.","16.946 kr.","2009",NA,NA,NA,NA
"915","6000 Kolding","2022-08-12","146 m²","157 m²","855 m²","6/5","2","1960","D","2.482 kr.","12.707 kr.","430 dage",NA,"100.000 kr.","9.663 kr.","7.944 kr.","1970","83 m²",NA,NA,NA
"916","6000 Kolding","2022-08-12","135 m²","159 m²","700 m²","5/3","2","1971","D","2.738 kr.","9.403 kr.","550 dage",NA,"75.000 kr.","8.007 kr.","6.438 kr.","1976","25 m²",NA,NA,NA
"917","6000 Kolding","2022-08-12","70 m²","80 m²","617 m²","2/1","1","1942","D","1.853 kr.","16.188 kr.","114 dage","Vis historik","65.000 kr.","6.880 kr.","5.532 kr.","1959",NA,NA,NA,NA
"918","6000 Kolding","2022-08-12","135 m²","139 m²","746 m²","4/3","1","2002","C","2.730 kr.","17.950 kr.","97 dage","Vis historik","125.000 kr.","13.189 kr.","10.605 kr.",NA,NA,NA,NA,NA
"919","6000 Kolding","2022-08-12","244 m²","260 m²","2.192 m²","6/4","3","1895","D",NA,NA,NA,NA,"370.000 kr.","39.140 kr.","31.474 kr.","1974","6 m²",NA,NA,NA
"920","6000 Kolding","2022-08-12","144 m²","152 m²","560 m²","6/4","1","1960","E","2.318 kr.","9.836 kr.","99 dage",NA,"75.000 kr.","7.931 kr.","6.377 kr.","1974",NA,NA,NA,NA
"921","6000 Kolding","2022-08-12","104 m²","152 m²","495 m²","4/1","2","1954","F","1.491 kr.","9.836 kr.","132 dage",NA,"75.000 kr.","8.189 kr.","6.585 kr.",NA,"104 m²",NA,NA,NA
"922","6000 Kolding","2022-08-12","56 m²","78 m²","415 m²","3/1","2","1946","D","1.835 kr.","14.038 kr.","438 dage",NA,"55.000 kr.","6.341 kr.","5.003 kr.",NA,"56 m²",NA,NA,NA
"923","6000 Kolding","2022-08-12","120 m²","150 m²","643 m²","6/3","2","1956","C","2.192 kr.","12.633 kr.","193 dage",NA,"95.000 kr.","10.032 kr.","8.059 kr.",NA,"90 m²",NA,NA,NA
"924","6000 Kolding","2022-08-12","105 m²","112 m²","637 m²","5/5","2","1925","E","2.237 kr.","14.241 kr.","172 dage",NA,"80.000 kr.","7.793 kr.","6.407 kr.",NA,NA,NA,NA,NA
"925","6000 Kolding","2022-08-12","112 m²","121 m²","440 m²","4/3","2","1934","D","2.632 kr.","18.967 kr.","1.365 dage",NA,"115.000 kr.","11.182 kr.","9.195 kr.","1999","10 m²",NA,NA,NA
"926","6000 Kolding","2022-08-12","151 m²",NA,"723 m²","5/4","1","2018","A2015","2.822 kr.","24.106 kr.","108 dage",NA,"185.000 kr.","19.192 kr.","15.432 kr.",NA,NA,NA,NA,NA
"927","6000 Kolding","2022-08-12","138 m²",NA,"460 m²","5/3","3","1907","G","2.523 kr.","14.457 kr.","121 dage",NA,"100.000 kr.","10.605 kr.","8.520 kr.","1952","66 m²",NA,NA,NA
"928","6000 Kolding","2022-08-12","174 m²","176 m²","678 m²","6/5","1","1976","C","2.731 kr.","13.608 kr.","310 dage","Vis historik","120.000 kr.","12.809 kr.","10.300 kr.","2005",NA,NA,NA,NA
"929","6000 Kolding","2022-08-12","110 m²","115 m²","672 m²","4/3",NA,"1976","C",NA,NA,NA,NA,"90.000 kr.","9.546 kr.","7.670 kr.",NA,NA,NA,NA,NA
"930","6000 Kolding","2022-08-12","147 m²","150 m²","251 m²","5/3","3","1900","D","1.903 kr.","9.300 kr.","303 dage",NA,"70.000 kr.","7.423 kr.","5.963 kr.",NA,"16 m²",NA,NA,NA
"931","6000 Kolding","2022-08-12","215 m²","207 m²","688 m²","6/5","2","1924","D","2.587 kr.","15.918 kr.","88 dage","Vis historik","165.000 kr.","17.801 kr.","14.315 kr.",NA,NA,NA,NA,NA
"932","6000 Kolding","2022-08-12","113 m²","118 m²","750 m²","3/2","1","1958","D","2.107 kr.","14.364 kr.","91 dage","Vis historik","85.000 kr.","8.983 kr.","7.222 kr.","2006",NA,NA,NA,NA
"933","6000 Kolding","2022-08-12","127 m²","142 m²","596 m²","5/4","1","1955","E","2.014 kr.","9.331 kr.","240 dage","Vis historik","70.000 kr.","7.017 kr.","5.642 kr.","1978","23 m²",NA,NA,NA
"934","6000 Kolding","2022-08-12","141 m²","145 m²","662 m²","4/3","1","1968","D","2.501 kr.","11.028 kr.","296 dage",NA,"80.000 kr.","8.480 kr.","6.818 kr.","1976",NA,NA,NA,NA
"935","6000 Kolding","2022-08-12","113 m²","136 m²","572 m²","3/2","3","1937","D","2.264 kr.","14.669 kr.","122 dage","Vis historik","100.000 kr.","10.561 kr.","8.491 kr.","1973","58 m²",NA,NA,NA
"936","6000 Kolding","2022-08-12","115 m²","125 m²","758 m²","4/3","1","1961","D","2.119 kr.","14.360 kr.","135 dage",NA,"90.000 kr.","9.509 kr.","7.645 kr.",NA,NA,NA,NA,NA
"937","6000 Kolding","2022-08-12","176 m²","202 m²","662 m²","6/5","2","1969","D","2.464 kr.","13.342 kr.","322 dage",NA,"135.000 kr.","14.240 kr.","11.450 kr.",NA,"115 m²",NA,NA,NA
"938","6000 Kolding","2022-08-12","119 m²","135 m²","783 m²","5/4","2","1947","D","2.791 kr.","20.741 kr.","203 dage",NA,"140.000 kr.","14.794 kr.","11.895 kr.","1996","77 m²",NA,NA,NA
"939","6000 Kolding","2022-08-12","148 m²","152 m²","785 m²","6/4","1","1976","C","2.731 kr.","14.441 kr.","170 dage","Vis historik","110.000 kr.","11.611 kr.","9.336 kr.","1985",NA,NA,NA,NA
"940","6000 Kolding","2022-08-12","151 m²","160 m²","814 m²","4/3","1","2000","C","3.100 kr.","23.119 kr.","162 dage",NA,"185.000 kr.","19.520 kr.","15.696 kr.","2014",NA,NA,NA,NA
"941","6000 Kolding","2022-08-12","120 m²","133 m²","496 m²","5/4","3","1926","D","2.182 kr.","13.496 kr.","97 dage",NA,"90.000 kr.","9.547 kr.","7.676 kr.","1932","25 m²",NA,NA,NA
"942","6000 Kolding","2022-08-12","121 m²","140 m²","772 m²","5/4","1","1972","D","2.582 kr.","12.136 kr.","221 dage",NA,"85.000 kr.","9.040 kr.","7.263 kr.",NA,NA,NA,NA,NA
"943","6000 Kolding","2022-08-12","180 m²","186 m²","821 m²","5/4","1","2018","A2015","3.151 kr.","29.543 kr.","149 dage",NA,"275.000 kr.","28.961 kr.","23.288 kr.",NA,NA,NA,NA,NA
"944","6000 Kolding","2022-08-12","226 m²","228 m²","839 m²","6/5","2","1969","D","3.293 kr.","13.136 kr.","106 dage",NA,"150.000 kr.","15.871 kr.","12.752 kr.","1973",NA,NA,NA,NA
"945","6000 Kolding","2022-08-12","165 m²","170 m²","454 m²","7/5","2","1984","B","2.450 kr.","14.088 kr.","99 dage","Vis historik","120.000 kr.","12.664 kr.","10.182 kr.",NA,NA,NA,NA,NA
"946","6000 Kolding","2022-08-12","96 m²","109 m²","261 m²","3/3","3","1957","E","2.125 kr.","13.716 kr.","161 dage",NA,"75.000 kr.","7.931 kr.","6.377 kr.","1975","31 m²",NA,NA,NA
"947","6000 Kolding","2022-08-12","146 m²","162 m²","792 m²","5/3","2","1947","D","2.191 kr.","27.160 kr.","303 dage","Vis historik","220.000 kr.","23.205 kr.","18.659 kr.","2007","54 m²",NA,NA,NA
"948","6000 Kolding","2022-08-12","105 m²","110 m²","797 m²","3/3","2","1925","C","2.425 kr.","15.409 kr.","156 dage","Vis historik","85.000 kr.","9.021 kr.","7.247 kr.","1957",NA,NA,NA,NA
"949","6000 Kolding","2022-08-12","136 m²","150 m²","927 m²","4/3","2","1963","E","2.448 kr.","12.300 kr.","87 dage",NA,"95.000 kr.","9.757 kr.","7.845 kr.",NA,"15 m²",NA,NA,NA
"950","6000 Kolding","2022-08-12","58 m²","72 m²","786 m²","3/2","2","1953","G","1.803 kr.","13.819 kr.","92 dage","Vis historik","50.000 kr.","5.283 kr.","4.244 kr.",NA,"36 m²",NA,NA,NA
"951","6000 Kolding","2022-08-12","182 m²","190 m²","711 m²","6/4","1","1966","C","2.489 kr.","9.974 kr.","1.032 dage",NA,"95.000 kr.","10.115 kr.","8.133 kr.",NA,NA,NA,NA,NA
"952","6000 Kolding","2022-08-12","80 m²","86 m²","1.052 m²","3/2","1","1959","E","2.338 kr.","11.628 kr.","253 dage",NA,"50.000 kr.","5.331 kr.","4.286 kr.",NA,NA,NA,NA,NA
"953","6000 Kolding","2022-08-12","144 m²","175 m²","538 m²","4/3","2","1948","C","2.476 kr.","7.400 kr.","108 dage",NA,"65.000 kr.","6.880 kr.","5.532 kr.","1987","94 m²",NA,NA,NA
"954","6000 Kolding","2022-08-12","164 m²","157 m²","582 m²","5/4","2","1870","B","2.106 kr.","17.803 kr.","98 dage",NA,"140.000 kr.","14.766 kr.","11.873 kr.","1983",NA,NA,NA,NA
"955","6000 Kolding","2022-08-12","90 m²","93 m²","746 m²","4/2","1","1952","G","1.900 kr.","16.075 kr.","112 dage","Vis historik","75.000 kr.","7.953 kr.","6.394 kr.",NA,NA,NA,NA,NA
"956","6000 Kolding","2022-08-12","201 m²","198 m²","693 m²","5/4","2","1970","C","3.213 kr.","22.197 kr.","192 dage","Vis historik","220.000 kr.","23.178 kr.","18.637 kr.",NA,NA,NA,NA,NA
"957","6000 Kolding","2022-08-12","157 m²","215 m²","929 m²","5/3","2","1965","C","4.071 kr.","32.535 kr.","148 dage",NA,"350.000 kr.","33.675 kr.","27.689 kr.","2005","123 m²",NA,NA,NA
"958","6000 Kolding","2022-08-12","121 m²","128 m²","717 m²","4/3","1","1966","D","2.816 kr.","14.023 kr.","323 dage",NA,"90.000 kr.","9.509 kr.","7.645 kr.","1993",NA,NA,NA,NA
"959","6000 Kolding","2022-08-12","189 m²","188 m²","825 m²","7/5","2","1965","D","2.400 kr.","10.346 kr.","281 dage",NA,"100.000 kr.","10.282 kr.","8.268 kr.","1976",NA,NA,NA,NA
"960","8560 Kolind","2022-08-12","91 m²","108 m²","315 m²","3/2","3","1942","C","1.299 kr.","6.926 kr.","161 dage",NA,"40.000 kr.","4.006 kr.","3.206 kr.",NA,"53 m²",NA,NA,NA
"961","2800 Kongens Lyngby","2022-08-12","66 m²","92 m²","876 m²","3/3","2","1936","D","4.160 kr.","65.163 kr.","152 dage",NA,"300.000 kr.","31.677 kr.","25.958 kr.",NA,"66 m²",NA,NA,NA
"962","9293 Kongerslev","2022-08-12","75 m²","75 m²","41.075 m²","3/2",NA,"1875","G","1.458 kr.","10.333 kr.","1.523 dage",NA,"40.000 kr.","4.149 kr.","3.334 kr.","1985",NA,NA,NA,NA
"963","9293 Kongerslev","2022-08-12","125 m²","142 m²","545 m²","3/2","2","1900","D","1.126 kr.","4.190 kr.","465 dage",NA,"30.000 kr.","3.333 kr.","2.680 kr.",NA,NA,NA,NA,NA
"964","9293 Kongerslev","2022-08-12","161 m²",NA,"491 m²","5/3","2","1917","D","1.370 kr.","4.814 kr.","323 dage",NA,"40.000 kr.","4.248 kr.","3.416 kr.","1985",NA,NA,NA,NA
"965","9293 Kongerslev","2022-08-12",NA,NA,"5.428 m²",NA,NA,NA,NA,"408 kr.",NA,"1.043 dage",NA,"25.000 kr.","1.925 kr.","1.547 kr.",NA,NA,NA,NA,NA
